cond,foodfr,socfr,foodr,socr,foodresp,socresp,foodresp_r,socresp_r
1,1,,175.5,20.25,175.5,20.25,175.5,20.25
1,2,,171.75,19.5,345,19.5,343.5,19.5
1,4,,146.25,20.5,586.25,20.5,585,20.5
1,8,,105.5,26.25,846,26.25,844,26.25
1,16,,59.75,24,1006.75,24,956,24
1,32,,26.75,23,938,23,856,23
1,64,,6,48,488.75,48,384,48
1,128,,0.25,50.5,144,50.5,32,50.5
1,256,,0,66.75,35.75,66.75,0,66.75
1,512,,0,78,5,78,0,78
2,,1,196.2105,18.36842,196.6842,18.47368,196.2105,18.36842
2,,2,196.5,25.25,196.75,50.5,196.5,50.5
2,,4,192.5,16.25,193,68,192.5,65
2,,8,195,6.5,195.5,77.5,195,52
2,,16,204.5,0,206,22,204.5,0
2,,32,226,0,226,32,226,0
3,1,1,205,28.2,205,28.2,205,28.2
3,2,2,184,34.5,368,70,368,69
3,4,4,102,31,411.5,126,408,124
3,8,8,123,7.666667,988.6667,89.33333,984,61.33333
3,16,16,100.5,4,1613,93.5,1608,64
3,32,32,54.5,0.5,1744.5,62.5,1744,16
3,64,64,31.5,0,2029.5,20,2016,0
4,1,,225,,225,,,
4,2,,192,,387,,,
4,4,,204,,817.5,,,
4,8,,172,,1379.5,,,
4,16,,132.5,,2147,,,
4,32,,78.5,,2513,,,
4,64,,23,,1489,,,
4,128,,7.5,,964,,,
4,256,,2,,555.5,,,
4,512,,0,,335,,,